2019-09-11 19:14:38 INFO: Using 1 GPUs.

2019-09-11 19:14:41 INFO: Start at Epoch[0]
2019-09-11 19:14:48 INFO: Epoch[0] Iteration[1/46] Loss: 10.3909
2019-09-11 19:14:49 INFO: Epoch[0] Iteration[5/46] Loss: 10.3667
2019-09-11 19:14:50 INFO: Epoch[0] Iteration[9/46] Loss: 10.0618
2019-09-11 19:14:51 INFO: Epoch[0] Iteration[13/46] Loss: 9.8366
2019-09-11 19:14:53 INFO: Epoch[0] Iteration[17/46] Loss: 9.7460
2019-09-11 19:14:54 INFO: Epoch[0] Iteration[21/46] Loss: 9.5951
2019-09-11 19:14:55 INFO: Epoch[0] Iteration[25/46] Loss: 9.4965
2019-09-11 19:14:56 INFO: Epoch[0] Iteration[29/46] Loss: 9.4023
2019-09-11 19:14:58 INFO: Epoch[0] Iteration[33/46] Loss: 9.3371
2019-09-11 19:14:59 INFO: Epoch[0] Iteration[37/46] Loss: 9.2625
2019-09-11 19:15:00 INFO: Epoch[0] Iteration[41/46] Loss: 9.2130
2019-09-11 19:15:02 INFO: Epoch[0] Iteration[45/46] Loss: 9.1766
2019-09-11 19:15:41 INFO: Epoch[1] Iteration[1/46] Loss: 9.1362
2019-09-11 19:15:43 INFO: Epoch[1] Iteration[5/46] Loss: 9.1002
2019-09-11 19:15:44 INFO: Epoch[1] Iteration[9/46] Loss: 9.0405
2019-09-11 19:15:45 INFO: Epoch[1] Iteration[13/46] Loss: 8.9862
2019-09-11 19:15:46 INFO: Epoch[1] Iteration[17/46] Loss: 8.9367
2019-09-11 19:15:48 INFO: Epoch[1] Iteration[21/46] Loss: 8.8850
2019-09-11 19:15:49 INFO: Epoch[1] Iteration[25/46] Loss: 8.8418
2019-09-11 19:15:50 INFO: Epoch[1] Iteration[29/46] Loss: 8.8039
2019-09-11 19:15:52 INFO: Epoch[1] Iteration[33/46] Loss: 8.7658
2019-09-11 19:15:53 INFO: Epoch[1] Iteration[37/46] Loss: 8.7241
2019-09-11 19:15:54 INFO: Epoch[1] Iteration[41/46] Loss: 8.6906
2019-09-11 19:15:55 INFO: Epoch[1] Iteration[45/46] Loss: 8.6553
2019-09-11 19:16:31 INFO: Epoch[2] Iteration[1/46] Loss: 8.6352
2019-09-11 19:16:32 INFO: Epoch[2] Iteration[5/46] Loss: 8.5985
2019-09-11 19:16:33 INFO: Epoch[2] Iteration[9/46] Loss: 8.5635
2019-09-11 19:16:34 INFO: Epoch[2] Iteration[13/46] Loss: 8.5298
2019-09-11 19:16:36 INFO: Epoch[2] Iteration[17/46] Loss: 8.4965
2019-09-11 19:16:37 INFO: Epoch[2] Iteration[21/46] Loss: 8.4621
2019-09-11 19:16:38 INFO: Epoch[2] Iteration[25/46] Loss: 8.4252
2019-09-11 19:16:40 INFO: Epoch[2] Iteration[29/46] Loss: 8.3900
2019-09-11 19:16:41 INFO: Epoch[2] Iteration[33/46] Loss: 8.3567
2019-09-11 19:16:42 INFO: Epoch[2] Iteration[37/46] Loss: 8.3267
2019-09-11 19:16:43 INFO: Epoch[2] Iteration[41/46] Loss: 8.2958
2019-09-11 19:16:45 INFO: Epoch[2] Iteration[45/46] Loss: 8.2700
2019-09-11 19:17:20 INFO: Epoch[3] Iteration[1/46] Loss: 8.2556
2019-09-11 19:17:22 INFO: Epoch[3] Iteration[5/46] Loss: 8.2284
2019-09-11 19:17:23 INFO: Epoch[3] Iteration[9/46] Loss: 8.1994
2019-09-11 19:17:24 INFO: Epoch[3] Iteration[13/46] Loss: 8.1695
2019-09-11 19:17:26 INFO: Epoch[3] Iteration[17/46] Loss: 8.1428
2019-09-11 19:17:27 INFO: Epoch[3] Iteration[21/46] Loss: 8.1156
2019-09-11 19:17:28 INFO: Epoch[3] Iteration[25/46] Loss: 8.0885
